 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text= Alle glider i tis, falder om, slår hovedet, der går ild i det, der kan gå ild i, hvilket man allerede ved, når man første gang kaster et blik på det nymalede flotte portræt af svigerfar.
1-1	Alle	al	PI:p-u#:--:----	
55-37	ærinde	ærinde	NC:siun:--:----	
55-38	,	,	ZD	
55-39	giver	give	VF:----:sa:----	
55-40	Roche	Roche	NP:siu#:--:----	
55-41	Helen	Helen	NP:siu#:--:----	
55-42	fuld	fuld	AC:siuc:--:p---	
55-43	kontrol	kontrol	NC:siuc:--:----	
55-44	over	over	T-:----:--:----	
55-45	sin	sin	PO:s--c:--:-3ys	
55-46	sansebaserede	sansebasere	VP:sdu#:t-:----	
55-47	fortolkning	fortolkning	NC:siuc:--:----	
55-48	af	af	T-:----:--:----	
55-49	egenkroppen	egenkrop	NC:sduc:--:----	
55-50	.	.	ZP	

#id=56
#text= Kan man se det kulturkritiske, ja, det rent ud sagt subversive i det, der for et ordinært blik fremstår ækelt, hvis man ikke selv har erfaringer med følelsen i vagina, når den fyldes og tømmes?
56-1	Kan	kunne	VF:----:sa:----	
56-2	man	man	PI:#-uc:--:----	
56-3	se	se	VI:----:-a:----	
56-4	det	den	PM:s-un:--:----	
56-5	kulturkritiske	kulturkritisk	AC:sdu#:--:p---	
56-6	,	,	ZD	
56-7	ja	ja	I-:----:--:----	
56-8	,	,	ZD	
56-9	det	det	PP:s-un:--:-3n-	
56-10	rent	ren	AD:----:--:p---	
56-11	ud	ud	D-:----:--:u---	
56-12	sagt	sige	VT:siu#:t-:----	
56-13	subversive	subversiv	AC:p#u#:--:p---	
56-14	i	i	T-:----:--:----	
56-15	det	det	PP:s-un:--:-3n-	
56-16	,	,	ZD	
56-17	der	der	US:----:--:----	
56-18	for	for	T-:----:--:----	
56-19	et	en	PI:s-un:--:----	
56-20	ordinært	ordinær	AC:siun:--:p---	
56-21	blik	blik|blik-1-1|blik-1-2|blik-1-3|blik-1-4|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-4a	NC:siun:--:----	
56-22	fremstår	fremstå	----:sa:----	
56-23	ækelt	ækel	AC:siun:--:p---	
56-24	,	,	ZD	
56-25	hvis	hvis	CS:----:--:----	
56-26	man	man	PI:#-uc:--:----	
56-27	ikke	ikke	D-:----:--:u---	
56-28	selv	selv	PM:#-u#:--:----	
56-29	har	have	VF:----:sa:----	
56-30	erfaringer	erfaring	NC:piu#:--:----	
56-31	med	med	T-:----:--:----	
56-32	følelsen	følelse	NC:sduc:--:----	
56-33	i	i	T-:----:--:----	
56-34	vagina	vagina	NC:siuc:--:----	
56-35	,	,	ZD	
56-36	når	når	CS:----:--:----	
56-37	den	den	PP:s-uc:--:-3n-	
56-38	fyldes	fylde	VF:----:sp:----	
56-39	og	og	CC:----:--:----	
56-40	tømmes	tømme	VI:----:-p:----	
56-41	?	?	ZQ	

#id=57
#text= Her vil man dels kunne møde et historisk blik på kunstnerens værk i form af en retrospektiv ophængning, dels helt nye værker produceret specielt til udstillingen.
57-1	Her	her	D-:----:--:u---	
57-2	vil	ville	VF:----:sa:----	
57-3	man	man	PI:#-uc:--:----	
57-4	dels	dels	D-:----:--:u---	
57-5	kunne	kunne	VF:----:ta:----	
57-6	møde	møde	VI:----:-a:----	
57-7	et	en	PI:s-un:--:----	
57-8	historisk	historisk	AC:siu§:--:p---	
57-9	blik	blik|blik-1-1|blik-1-2|blik-1-3|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-2-1-1a|blik-1-4	NC:siun:--:----	
57-10	på	på	T-:----:--:----	
57-11	kunstnerens	kunstner	NC:sdgc:--:----	
57-12	værk	værk	NC:siun:--:----	
57-13	i	i	T-:----:--:----	
57-14	form	form	NC:siuc:--:----	
57-15	af	af	T-:----:--:----	
57-16	en	en	PI:s-uc:--:----	
57-17	retrospektiv	retrospektiv	AC:siuc:--:p---	
57-18	ophængning	ophængning	NC:siuc:--:----	
57-19	,	,	ZD	
57-20	dels	dels	D-:----:--:u---	
57-21	helt	hel	AD:----:--:p---	
57-22	nye	ny	AC:p#u#:--:p---	
57-23	værker	værk	NC:piu#:--:----	
57-24	produceret	producere	VT:siu#:t-:----	
57-25	specielt	speciel	AD:----:--:p---	
57-26	til	til	T-:----:--:----	
57-27	udstillingen	udstilling	NC:sduc:--:----	
57-28	.	.	ZP	

#id=58
#text= Måden, Malmros' unge blev helt stive i blikket og stumme og tørre i ganen på, når de fik øje på et tabuiseret og pludselig bart sted på anatomien - absolut.
58-1	Måden	måde	NC:sduc:--:----	
58-2	,	,	ZD	
58-3	Malmros	Malmros	NP:siu#:--:----	
58-4	'	'	ZA	
58-5	unge	unge	NC:siuc:--:----	
58-6	blev	blive	VF:----:ta:----	
58-7	helt	hel	AD:----:--:p---	
58-8	stive	stive	VI:----:-a:----	
58-9	i	i	T-:----:--:----	
58-10	blikket	blik|blik-1-2|blik-1-3|blik-1-1|blik-1-4|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-1-4a	NC:sdun:--:----	
58-11	og	og	CC:----:--:----	
58-12	stumme	stum	AC:p#u#:--:p---	
58-13	og	og	CC:----:--:----	
58-14	tørre	tør	AC:p#u#:--:p---	
58-15	i	i	T-:----:--:----	
58-16	ganen	gane	NC:sduc:--:----	
58-17	på	på	T-:----:--:----	
58-18	,	,	ZD	
58-19	når	når	CS:----:--:----	
58-20	de	de	PP:p-n#:--:-3n-	
58-21	fik	få	VF:----:ta:----	
58-22	øje	øje	VI:----:-a:----	
58-23	på	på	T-:----:--:----	
58-24	et	en	PI:s-un:--:----	
58-25	tabuiseret	tabuisere	VT:siu#:t-:----	
58-26	og	og	CC:----:--:----	
58-27	pludselig	pludselig	D-:----:--:u---	
58-28	bart	bar	AC:siun:--:p---	
58-29	sted	sted	NC:siun:--:----	
58-30	på	på	T-:----:--:----	
58-31	anatomien	anatomi	NW:----:--:----	
58-32	-	-	ZH	
58-33	absolut	absolut	AC:siu§:--:p---	
58-34	.	.	ZP	

#id=59
#text= Blikket er mørkt og tomt.
59-1	Blikket	blik|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-2-1-1a|blik-1-4|blik-1-2|blik-1-1|blik-1-3	NC:sdun:--:----	
59-2	er	være	VF:----:sa:----	
59-3	mørkt	mørk	AD:----:--:p---	
59-4	og	og	CC:----:--:----	
59-5	tomt	tom	AD:----:--:p---	
59-6	.	.	ZP	

#id=60
#text= Jeg er sikker på, at blikket engang var levende og engageret.
60-1	Jeg	jeg	PP:s-nc:--:-1n-	
60-2	er	være	VF:----:sa:----	
60-3	sikker	sikker	AC:siuc:--:p---	
60-4	på	på	T-:----:--:----	
60-5	,	,	ZD	
60-6	at	at	CS:----:--:----	
60-7	blikket	blik|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-3|blik-1-4|blik-1-4a|blik-1-2|blik-1-1|blik-2-1-1a	NC:sdun:--:----	
60-8	engang	engang	D-:----:--:u---	
60-9	var	være	VF:----:ta:----	
60-10	levende	levende	AC:§§u§:--:p---	
60-11	og	og	CC:----:--:----	
60-12	engageret	engagere	VT:siu#:t-:----	
60-13	.	.	ZP	

#id=61
#text= Vi skal høre fra hele den grå masse af muslimer, der til daglig går og skutter sig med tomt blik.
61-1	Vi	vi	PP:p-nc:--:-1n-	
61-2	skal	skulle	VF:----:sa:----	
61-3	høre	høre	VI:----:-a:----	
61-4	fra	fra	T-:----:--:----	
61-5	hele	hel	AC:sdu#:--:p---	
61-6	den	den	PM:s-uc:--:----	
61-7	grå	grå	AC:sdu#:--:p---	
61-8	masse	masse	NC:siuc:--:----	
61-9	af	af	T-:----:--:----	
61-10	muslimer	muslim	NC:piu#:--:----	
61-11	,	,	ZD	
61-12	der	der	US:----:--:----	
61-13	til	til	T-:----:--:----	
61-14	daglig	daglig	AD:----:--:p---	
61-15	går	gå	VF:----:sa:----	
61-16	og	og	CC:----:--:----	
61-17	skutter	skutte	VF:----:sa:----	
61-18	sig	sig	PP:#-u#:--:-3y-	
61-19	med	med	T-:----:--:----	
61-20	tomt	tom	AC:siun:--:p---	
61-21	blik	blik|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-1-4|blik-1-2|blik-1-1|blik-1-3	NC:siun:--:----	
61-22	.	.	ZP	

#id=62
#text= Og kigger så på mig med et blik i øjnene bag de delvist uindfattede briller, som tydeligt signalerer:
62-1	Og	og	CC:----:--:----	
62-2	kigger	kigge	VF:----:sa:----	
62-3	så	så	D-:----:--:u---	
62-4	på	på	T-:----:--:----	
62-5	mig	jeg	PP:s-uc:--:-1#-	
62-6	med	med	T-:----:--:----	
62-7	et	en	PI:s-un:--:----	
62-8	blik	blik|blik-1-2|blik-1-4|blik-1-4a|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-1-3|blik-1-1	NC:siun:--:----	
62-9	i	i	T-:----:--:----	
62-10	øjnene	øje	NC:pdu#:--:----	
62-11	bag	bag	T-:----:--:----	
62-12	de	den	PM:p-u#:--:----	
62-13	delvist	delvist	AD:----:--:p---	
62-14	uindfattede	uindfattet	AC:p#u#:--:p---	
62-15	briller	brille	NC:piu#:--:----	
62-16	,	,	ZD	
62-17	som	som	US:----:--:----	
62-18	tydeligt	tydelig	AD:----:--:p---	
62-19	signalerer	signalere	VF:----:sa:----	
62-20	:	:	ZP	

#id=63
#text= Han fanger mit blik.
63-1	Han	han	PP:s-nc:--:-3n-	
63-2	fanger	fanger	XY:----:--:----	
63-3	mit	mit	XF:----:--:----	
63-4	blik	blik|blik-1-1|blik-1-3|blik-1-4|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-2-1-1a|blik-1-2	NC:siun:--:----	
63-5	.	.	ZP	

#id=64
#text= Til gengæld nåede Pratt at rette sit blik imod skyerne, hvor barndommens elskede krigsflyvere og den moderne historiske sagnhelt St.
64-1	Til	til	T-:----:--:----	
64-2	gengæld	gengæld	NC:siuc:--:----	
64-3	nåede	nå	VF:----:ta:----	
64-4	Pratt	Pratt	NP:siu#:--:----	
64-5	at	at	UI:----:--:----	
64-6	rette	rette	VI:----:-a:----	
64-7	sit	sin	PO:s--n:--:-3ys	
64-8	blik	blik|blik-1-4|blik-1-4a|blik-1-2|blik-1-3|blik-1-1|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik	NC:siun:--:----	
64-9	imod	imod	T-:----:--:----	
64-10	skyerne	sky	NC:pdu#:--:----	
64-11	,	,	ZD	
64-12	hvor	hvor	D-:----:--:u---	
64-13	barndommens	barndom	NC:sdgc:--:----	
64-14	elskede	elske	VP:p#u#:t-:----	
64-15	krigsflyvere	krigsflyver	NC:piu#:--:----	
64-16	og	og	CC:----:--:----	
64-17	den	den	PM:s-uc:--:----	
64-18	moderne	moderne	AC:§§u§:--:p---	
64-19	historiske	historisk	AC:sdu#:--:p---	
64-20	sagnhelt	sagnhelt	NC:siuc:--:----	
64-21	St	St	XS:----:--:----	
64-22	.	.	ZP	

#id=65
#text= Fionia Bank kan blive et kviksand af problemer for Lene Espersen, og det har hun et klart blik for som mangeårig politiker.
65-1	Fionia	Fionia	NP:siu#:--:----	
65-2	Bank	Bank	NP:siu#:--:----	
65-3	kan	kunne	VF:----:sa:----	
65-4	blive	blive	VI:----:-a:----	
65-5	et	en	PI:s-un:--:----	
65-6	kviksand	kviksand	NC:siun:--:----	
65-7	af	af	T-:----:--:----	
65-8	problemer	problem	NC:piu#:--:----	
65-9	for	for	T-:----:--:----	
65-10	Lene	Lene	NP:siu#:--:----	
65-11	Espersen	Espersen	NP:siu#:--:----	
65-12	,	,	ZD	
65-13	og	og	CC:----:--:----	
65-14	det	det	PP:s-un:--:-3n-	
65-15	har	have	VF:----:sa:----	
65-16	hun	hun	PP:s-nc:--:-3n-	
65-17	et	en	PI:s-un:--:----	
65-18	klart	klar	AC:siun:--:p---	
65-19	blik	blik|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-1-4|blik-1-1|blik-1-2|blik-1-3	NC:siun:--:----	
65-20	for	for	CC:----:--:----	
65-21	som	som	US:----:--:----	
65-22	mangeårig	mangeårig	AC:siuc:--:p---	
65-23	politiker	politiker	NC:siuc:--:----	
65-24	.	.	ZP	

#id=66
#text= Den kvindelige hovedrolle Maria Wern, som har svært ved at komme sig over sin politimands indtil videre mystiske død - nå, så slipper hun da i det mindste for en opslidende Bergman-skilsmisse med hvisken og råben - er konstant uhøflig og fjern i blikket.
66-1	Den	den	PM:s-uc:--:----	
66-2	kvindelige	kvindelig	AC:sdu#:--:p---	
66-3	hovedrolle	hovedrolle	NC:siuc:--:----	
66-4	Maria	Maria	NP:siu#:--:----	
66-5	Wern	Wern	NP:siu#:--:----	
66-6	,	,	ZD	
66-7	som	som	US:----:--:----	
66-8	har	have	VF:----:sa:----	
66-9	svært	svær	AD:----:--:p---	
66-10	ved	ved	T-:----:--:----	
66-11	at	at	UI:----:--:----	
66-12	komme	komme	VI:----:-a:----	
66-13	sig	sig	PP:#-u#:--:-3y-	
66-14	over	over	T-:----:--:----	
66-15	sin	sin	PO:s--c:--:-3ys	
66-16	politimands	politimand	NC:sigc:--:----	
66-17	indtil	indtil	T-:----:--:----	
66-18	videre	videre	D-:----:--:u---	
66-19	mystiske	mystisk	AC:sdu#:--:p---	
66-20	død	død	NC:siuc:--:----	
66-21	-	-	NC:piu#:--:----	
66-22	nå	nå	VI:----:-a:----	
66-23	,	,	ZD	
66-24	så	så	D-:----:--:u---	
66-25	slipper	slippe	VF:----:sa:----	
66-26	hun	hun	PP:s-nc:--:-3n-	
66-27	da	da	D-:----:--:u---	
66-28	i	i	T-:----:--:----	
66-29	det	den	PM:s-un:--:----	
66-30	mindste	lille	AC:§du§:--:s---	
66-31	for	for	T-:----:--:----	
66-32	en	en	PI:s-uc:--:----	
66-33	opslidende	opslidende	AC:§§u§:--:p---	
66-34	Bergman	Bergman	NW:----:--:----	
66-35	-	-	ZH	
66-36	skilsmisse	skilsmisse	NC:siuc:--:----	
66-37	med	med	T-:----:--:----	
66-38	hvisken	hvisken	NC:siuc:--:----	
66-39	og	og	CC:----:--:----	
66-40	råben	råben	NC:siuc:--:----	
66-41	-	-	NC:piu#:--:----	
66-42	er	være	VF:----:sa:----	
66-43	konstant	konstant	AD:----:--:p---	
66-44	uhøflig	uhøflig	AC:siuc:--:p---	
66-45	og	og	CC:----:--:----	
66-46	fjern	fjern	AC:siuc:--:p---	
66-47	i	i	T-:----:--:----	
66-48	blikket	blik|blik-1-2|blik-1-3|blik-1-1|blik-1-4|blik-1-4a|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik	NC:sdun:--:----	
66-49	.	.	ZP	

#id=67
#text=fænomenal Udstilling Fremviser Et Væld Af Motorcykler Med Gode Blik På Den Kultur Der Omgiver Dem.
67-1	fænomenal	fænomenal	AC:siuc:--:p---	
67-2	Udstilling	udstilling	NC:siuc:--:----	
67-3	Fremviser	fremvise	VF:----:sa:----	
67-4	Et	en	PI:s-un:--:----	
67-5	Væld	væld	NC:siun:--:----	
67-6	Af	af	T-:----:--:----	
67-7	Motorcykler	motorcykel	NC:piu#:--:----	
67-8	Med	med	T-:----:--:----	
67-9	Gode	god	AC:sdu#:--:p---	
67-10	Blik	blik|blik-1-2|blik-1-1|blik-1-3|blik-1-4|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-2-1-1a	NC:siun:--:----	
67-11	På	på	T-:----:--:----	
67-12	Den	den	PM:s-uc:--:----	
67-13	Kultur	kultur	NC:siuc:--:----	
67-14	Der	der	US:----:--:----	
67-15	Omgiver	omgive	VF:----:sa:----	
67-16	Dem	de	PP:p-u#:--:-3n-	
67-17	.	.	ZP	

#id=68
#text= Herfra kan man lade blikket dvæle ved et roterende diasshow i kirkens hvælvinger, mens en dj spiller rolig nordisk electronica, der sender folk ud på en "himmelsk stener".
68-1	Herfra	herfra	D-:----:--:u---	
68-2	kan	kunne	VF:----:sa:----	
68-3	man	man	PI:#-uc:--:----	
68-4	lade	lade	VI:----:-a:----	
68-5	blikket	blik|blik-1-2|blik-1-4|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-4a|blik-1-3|blik-1-1	NC:sdun:--:----	
68-6	dvæle	dvæle	VI:----:-a:----	
68-7	ved	ved	T-:----:--:----	
68-8	et	en	PI:s-un:--:----	
68-9	roterende	rotere	VP:##u#:s-:----	
68-10	diasshow	diasshow	NC:siun:--:----	
68-11	i	i	T-:----:--:----	
68-12	kirkens	kirke	NC:sdgc:--:----	
68-13	hvælvinger	hvælving	NC:piu#:--:----	
68-14	,	,	ZD	
68-15	mens	mens	CS:----:--:----	
68-16	en	en	PI:s-uc:--:----	
68-17	dj	dj	NC:siuc:--:----	
68-18	spiller	spille	VF:----:sa:----	
68-19	rolig	rolig	AD:----:--:p---	
68-20	nordisk	nordisk	AC:siu§:--:p---	
68-21	electronica	electronicirka	D-:----:--:u---	
68-22	,	,	ZD	
68-23	der	der	US:----:--:----	
68-24	sender	sende	VF:----:sa:----	
68-25	folk	folk	NC:piu#:--:----	
68-26	ud	ud	D-:----:--:u---	
68-27	på	på	T-:----:--:----	
68-28	en	en	PI:s-uc:--:----	
68-29	"	"	ZI	
68-30	himmelsk	himmelsk	AD:----:--:p---	
68-31	stener	stene	VF:----:sa:----	
68-32	"	"	ZI	
68-33	.	.	ZP	

#id=69
#text=Han har et veludviklet blik for historiens kompleksitet, og når bogen er bedst, kombinerer han en tilsyneladende ligefrem og let historiefortælling med en stor refleksiv dybde.
69-1	Han	han	PP:s-nc:--:-3n-	
69-2	har	have	VF:----:sa:----	
69-3	et	en	PI:s-un:--:----	
69-4	veludviklet	veludviklet	AC:siu§:--:p---	
69-5	blik	blik|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-1-2|blik-1-3|blik-1-4a|blik-1-4|blik-1-1	NC:siun:--:----	
69-6	for	for	T-:----:--:----	
69-7	historiens	historie	NC:sdgc:--:----	
69-8	kompleksitet	leksitet	NC:siuc:--:----	
69-9	,	,	ZD	
69-10	og	og	CC:----:--:----	
69-11	når	når	CS:----:--:----	
69-12	bogen	bog	NC:sduc:--:----	
69-13	er	være	VF:----:sa:----	
69-14	bedst	god	AC:§§u§:--:s---	
69-15	,	,	ZD	
69-16	kombinerer	kombinere	VF:----:sa:----	
69-17	han	han	PP:s-nc:--:-3n-	
69-18	en	en	PI:s-uc:--:----	
69-19	tilsyneladende	tilsyneladende	AD:----:--:p---	
69-20	ligefrem	ligefrem	AC:siuc:--:p---	
69-21	og	og	CC:----:--:----	
69-22	let	let	AC:siu§:--:p---	
69-23	historiefortælling	historiefortælling	NC:siuc:--:----	
69-24	med	med	T-:----:--:----	
69-25	en	en	PI:s-uc:--:----	
69-26	stor	stor	AC:siuc:--:p---	
69-27	refleksiv	refleksiv	AC:siuc:--:p---	
69-28	dybde	dybde	NC:siuc:--:----	
69-29	.	.	ZP	

#id=70
#text=MAN ER IKKE i tvivl om, at man er en ussel synder, og at man som et syndigt menneske bare har at bøje ryggen og slå blikket ned.
70-1	MAN	man	PI:#-uc:--:----	
70-2	ER	være	VF:----:sa:----	
70-3	IKKE	ikke	D-:----:--:u---	
70-4	i	i	T-:----:--:----	
70-5	tvivl	tvivl	NC:siuc:--:----	
70-6	om	om	T-:----:--:----	
70-7	,	,	ZD	
70-8	at	at	CS:----:--:----	
70-9	man	man	PI:#-uc:--:----	
70-10	er	være	VF:----:sa:----	
70-11	en	en	PI:s-uc:--:----	
70-12	ussel	ussel	AC:siuc:--:p---	
70-13	synder	synder	NC:siuc:--:----	
70-14	,	,	ZD	
70-15	og	og	CC:----:--:----	
70-16	at	at	CS:----:--:----	
70-17	man	man	PI:#-uc:--:----	
70-18	som	som	US:----:--:----	
70-19	et	en	PI:s-un:--:----	
70-20	syndigt	syndig	AC:siun:--:p---	
70-21	menneske	menneske	NC:siun:--:----	
70-22	bare	bare	D-:----:--:u---	
70-23	har	have	VF:----:sa:----	
70-24	at	at	UI:----:--:----	
70-25	bøje	bøje	VI:----:-a:----	
70-26	ryggen	ryg	NC:sduc:--:----	
70-27	og	og	CC:----:--:----	
70-28	slå	slå	VI:----:-a:----	
70-29	blikket	blik|blik-1-2|blik-1-3|blik-1-1|blik-1-4|blik-1-4a|blik-2-1-1a|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik	NC:sdun:--:----	
70-30	ned	ned	D-:----:--:u---	
70-31	.	.	ZP	

#id=71
#text=Og Vestas er langt fra alene om at have blikket rettet mod USA, fortæller Steve Sawyer, generalsekretær i vindmølleindustriens internationale brancheorganisation, Global Wind Energy Council.
71-1	Og	og	CC:----:--:----	
71-2	Vestas	Vestas	NP:siu#:--:----	
71-3	er	være	VF:----:sa:----	
71-4	langt	lang	AD:----:--:p---	
71-5	fra	fra	T-:----:--:----	
71-6	alene	alene	D-:----:--:u---	
71-7	om	om	T-:----:--:----	
71-8	at	at	UI:----:--:----	
71-9	have	have	VI:----:-a:----	
71-10	blikket	blik|blik-1-1|blik-1-3|blik-1-4|blik-1-4a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-2-1-1a|blik-1-2	NC:sdun:--:----	
71-11	rettet	rette	VT:siu#:t-:----	
71-12	mod	mod	T-:----:--:----	
71-13	USA	USA	NP:siu#:--:----	
71-14	,	,	ZD	
71-15	fortæller	fortælle	VF:----:sa:----	
71-16	Steve	Steve	NP:siu#:--:----	
71-17	Sawyer	Sawyer	NP:siu#:--:----	
71-18	,	,	ZD	
71-19	generalsekretær	generalsekretær	NC:siuc:--:----	
71-20	i	i	T-:----:--:----	
71-21	vindmølleindustriens	vindmølleindustri	NC:sdgc:--:----	
71-22	internationale	international	AC:sdu#:--:p---	
71-23	brancheorganisation	brancheorganisation	NC:siuc:--:----	
71-24	,	,	ZD	
71-25	Global	global	XF:----:--:----	
71-26	Wind	Wind	NP:siu#:--:----	
71-27	Energy	Energy	NP:siu#:--:----	
71-28	Council	Council	NP:siu#:--:----	
71-29	.	.	ZP	

#id=72
#text=Jeg ville ønske, at Obama kunne besøge den britiske ambassadørs residens her i Teheran og kaste et blik på bordplanen for 30.
72-1	Jeg	jeg	PP:s-nc:--:-1n-	
72-2	ville	ville	VF:----:ta:----	
72-3	ønske	ønske	VI:----:-a:----	
72-4	,	,	ZD	
72-5	at	at	CS:----:--:----	
72-6	Obama	Obama	NP:siu#:--:----	
72-7	kunne	kunne	VF:----:ta:----	
72-8	besøge	besøge	VI:----:-a:----	
72-9	den	den	PM:s-uc:--:----	
72-10	britiske	britisk	AC:sdu#:--:p---	
72-11	ambassadørs	ambassadør	NC:sigc:--:----	
72-12	residens	residens	NC:siuc:--:----	
72-13	her	her	D-:----:--:u---	
72-14	i	i	T-:----:--:----	
72-15	Teheran	Teheran	NP:siu#:--:----	
72-16	og	og	CC:----:--:----	
72-17	kaste	kaste	VI:----:-a:----	
72-18	et	en	PI:s-un:--:----	
72-19	blik	blik|blik-1-2|blik-1-3|blik-1-4|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-få-blikket|blik-F-indre-blik|blik-1-4a|blik-1-1	NC:siun:--:----	
72-20	på	på	T-:----:--:----	
72-21	bordplanen	bordplan	NC:sduc:--:----	
72-22	for	for	T-:----:--:----	
72-23	30	30	LC:--u-:--:----	
72-24	.	.	ZP	

#id=73
#text= Man kan godt mærke på den rødhårede ekspedient ved kassen, at hun ikke er vant til de iskolde blikke, der sendes frem og tilbage mellem to, der skal forestille at være på vej hjem for at dyrke helt enormt meget sex, når hun foreslår, at man også tager en organisk glidecreme med for 'ekstra nydelse'.
73-1	Man	man	PI:#-uc:--:----	
73-2	kan	kunne	VF:----:sa:----	
73-3	godt	god	AD:----:--:p---	
73-4	mærke	mærke	VI:----:-a:----	
73-5	på	på	T-:----:--:----	
73-6	den	den	PM:s-uc:--:----	
73-7	rødhårede	rødhåret	AC:sdu#:--:p---	
73-8	ekspedient	ekspedient	NC:siuc:--:----	
73-9	ved	ved	T-:----:--:----	
73-10	kassen	kasse	NC:sduc:--:----	
73-11	,	,	ZD	
73-12	at	at	CS:----:--:----	
73-13	hun	hun	PP:s-nc:--:-3n-	
73-14	ikke	ikke	D-:----:--:u---	
73-15	er	være	VF:----:sa:----	
73-16	vant	vant	AC:siu§:--:p---	
73-17	til	til	T-:----:--:----	
73-18	de	den	PM:p-u#:--:----	
73-19	iskolde	iskold	AC:p#u#:--:p---	
73-20	blikke	blik|blik-1-3|blik-1-4a|blik-2-1-1a|blik-F-finde-nåde-for-nogens-blik|blik-F-indre-blik|blik-F-få-blikket|blik-1-4|blik-1-2|blik-1-1	NC:piu#:--:----	
73-21	,	,	ZD	
73-22	der	der	US:----:--:----	
73-23	sendes	sende	VF:----:sp:----	
73-24	frem	frem	D-:----:--:u---	
73-25	og	og	CC:----:--:----	
73-26	tilbage	tilbage	D-:----:--:u---	
73-27	mellem	mellem	T-:----:--:----	
73-28	to	to	LC:--u-:--:----	
73-29	,	,	ZD	
73-30	der	der	US:----:--:----	
73-31	skal	skulle	VF:----:sa:----	
73-32	forestille	forestille	VI:----:-a:----	
73-33	at	at	UI:----:--:----	
73-34	være	være	VI:----:-a:----	
73-35	på	på	T-:----:--:----	
73-36	vej	vej	NC:siuc:--:----	
73-37	hjem	hjem	D-:----:--:u---	
73-38	for	for	T-:----:--:----	
73-39	at	at	UI:----:--:----	
73-40	dyrke	dyrke	VI:----:-a:----	
73-41	helt	hel	AD:----:--:p---	
73-42	enormt	enorm	AD:----:--:p---	
73-43	meget	megen	AC:siu§:--:p---	
73-44	sex	sex	NC:siuc:--:----	
73-45	,	,	ZD	
73-46	når	når	CS:----:--:----	
73-47	hun	hun	:s-nc:--:-3n-	
73-48	foreslår	foreslå	VF:----:sa:----	
73-49	,	,	ZD	
73-50	at	at	CS:----:--:----	
73-51	man	man	PI:#-uc:--:----	
73-52	også	også	D-:----:--:u---	
73-53	tager	tage	VF:----:sa:----	
73-54	en	en	PI:s-uc:--:----	
73-55	organisk	organisk	AC:siu§:--:p---	
73-56	glidecreme	glidecreme	NC:siuc:--:----	
73-57	med	med	T-:----:--:----	
73-58	for	for	D-:----:--:u---	
73-59	'	'	ZA	
73-60	ekstra	ekstra	AC:sdu#:--:p---	
73-61	nydelse	nydelse	NC:siuc:--:----	
73-62	'	'	ZA	
73-63	.	.	ZP	

#id=74
#text= Dem, der højst veksler to ord med hinanden og får et helt tomt blik i øjnene, når deres blikke en sjælden gang mødes.
74-1	Dem	Dem	XY:----:--:----	
74-2	,	,	ZD	
74-3	der	der	US:----:--:----	
74-4	højst	højst	D-:----:--:u---	
74-5	veksler	veksle	VF:----:sa:----	
74-6	to	to	LC:--u-:--:----	
74-7	ord	ord	NC:piu#:--:----	
74-8	med	med	:----:--:----	
74-9	hinanden	hinanden	PC:p-u-:--:----	
74-10	og	og	CC:----:--:----	
74-11	får	få	VF:----:sa:----	
